LOCATION,FIRST_YEAR,LAST_YEAR
AUS,1971,2014
AUT,1990,2015
BEL,1970,2015
CAN,1970,2014
CHE,1985,2015
CZE,1990,2015
DEU,1970,2015
DNK,1980,2015
ESP,1980,2015
EST,1999,2015
FIN,1970,2015
FRA,1970,2015
GBR,1970,2015
GRC,1988,2015
HUN,1991,2015
IRL,1975,2015
ISL,1970,2015
ISR,2006,2013
ITA,1988,2016
JPN,1980,2014
KOR,1970,2016
LTU,2004,2015
LUX,1995,2015
LVA,2004,2015
MEX,1999,2015
NLD,1972,2016
NOR,1970,2016
NZL,1971,2007
POL,2002,2015
PRT,1970,2015
RUS,2015,2015
SVK,1999,2015
SVN,2002,2015
SWE,1970,2015
TUR,1981,2000
USA,2000,2015
